success,function_name,function,experiment,noise,optimizer,dropout,weight_decay,model_size,best_epoch,checkpoint_path,val_loss,auprc_full,auroc,auroc_full,num_gt,num_detected,num_candidates,error
True,f8,f8,base_adam,0.0,adam,0.0,False,small,99,snapshots_clean/small/f8/base_adam/best_epoch_0099.pt,0.0047201672568917274,1.0,1.0,1.0,4,10,1013,
True,f8,f8,base_sgd,0.0,sgd,0.0,False,small,99,snapshots_clean/small/f8/base_sgd/best_epoch_0099.pt,0.006241240538656712,1.0,1.0,1.0,4,12,1013,
True,f8,f8,0.1_adam,0.1,adam,0.0,False,small,100,snapshots_clean/small/f8/0.1_adam/best_epoch_0100.pt,0.046436939388513565,1.0,1.0,1.0,4,13,1013,
True,f8,f8,0.1_sgd,0.1,sgd,0.0,False,small,99,snapshots_clean/small/f8/0.1_sgd/best_epoch_0099.pt,0.049027219414711,0.6458333333333333,0.9375,0.9987611496531219,4,9,1013,
True,f8,f8,0.1_adam_dp,0.1,adam,0.2,False,small,60,snapshots_clean/small/f8/0.1_adam_dp/best_epoch_0060.pt,0.09202388674020767,0.6083333333333333,0.9444444444444444,0.9985133795837463,4,14,1013,
True,f8,f8,0.1_adam_wd,0.1,adam,0.0,True,small,42,snapshots_clean/small/f8/0.1_adam_wd/best_epoch_0042.pt,0.04838577285408974,1.0,1.0,1.0,4,13,1013,
True,f8,f8,0.1_adam_dp_wd,0.1,adam,0.2,True,small,27,snapshots_clean/small/f8/0.1_adam_dp_wd/best_epoch_0027.pt,0.07801780104637146,0.7470238095238095,0.9166666666666667,0.9987611496531219,4,11,1013,
True,f8,f8,0.1_sgd_dp,0.1,sgd,0.2,False,small,99,snapshots_clean/small/f8/0.1_sgd_dp/best_epoch_0099.pt,0.0569046288728714,0.6791666666666667,1.0,0.9990089197224976,4,13,1013,
True,f8,f8,0.1_sgd_dp_wd,0.1,sgd,0.2,True,small,100,snapshots_clean/small/f8/0.1_sgd_dp_wd/best_epoch_0100.pt,0.05518164485692978,0.6791666666666667,1.0,0.9990089197224975,4,9,1013,
True,f8,f8,0.2_adam,0.2,adam,0.0,False,small,79,snapshots_clean/small/f8/0.2_adam/best_epoch_0079.pt,0.17088520526885986,1.0,1.0,1.0,4,15,1013,
True,f8,f8,0.2_sgd,0.2,sgd,0.0,False,small,96,snapshots_clean/small/f8/0.2_sgd/best_epoch_0096.pt,0.17374655604362488,0.6083333333333333,1.0,0.9985133795837463,4,7,1013,
True,f8,f8,0.2_adam_dp,0.2,adam,0.2,False,small,97,snapshots_clean/small/f8/0.2_adam_dp/best_epoch_0097.pt,0.19846893846988678,0.8041666666666667,1.0,0.9992566897918732,4,12,1013,
True,f8,f8,0.2_adam_wd,0.2,adam,0.0,True,small,88,snapshots_clean/small/f8/0.2_adam_wd/best_epoch_0088.pt,0.17357993125915527,1.0,1.0,1.0,4,12,1013,
True,f8,f8,0.2_adam_dp_wd,0.2,adam,0.2,True,small,29,snapshots_clean/small/f8/0.2_adam_dp_wd/best_epoch_0029.pt,0.21023783087730408,0.4801538334978611,0.75,0.873637264618434,4,8,1013,
True,f8,f8,0.2_sgd_dp,0.2,sgd,0.2,False,small,92,snapshots_clean/small/f8/0.2_sgd_dp/best_epoch_0092.pt,0.18192364275455475,0.6791666666666667,1.0,0.9990089197224975,4,9,1013,
True,f8,f8,0.2_sgd_dp_wd,0.2,sgd,0.2,True,small,96,snapshots_clean/small/f8/0.2_sgd_dp_wd/best_epoch_0096.pt,0.1797022521495819,0.6791666666666667,1.0,0.9990089197224975,4,10,1013,
True,f8,f8,0.5_adam,0.5,adam,0.0,False,small,55,snapshots_clean/small/f8/0.5_adam/best_epoch_0055.pt,1.0312705039978027,0.8041666666666667,1.0,0.9992566897918731,4,17,1013,
True,f8,f8,0.5_sgd,0.5,sgd,0.0,False,small,49,snapshots_clean/small/f8/0.5_sgd/best_epoch_0049.pt,1.0403225421905518,0.35932050016452777,0.75,0.873017839444995,4,7,1013,
True,f8,f8,0.5_adam_dp,0.5,adam,0.2,False,small,24,snapshots_clean/small/f8/0.5_adam_dp/best_epoch_0024.pt,1.069753885269165,0.5426538334978611,0.6666666666666666,0.8733894945490585,4,8,1013,
True,f8,f8,0.5_adam_wd,0.5,adam,0.0,True,small,98,snapshots_clean/small/f8/0.5_adam_wd/best_epoch_0098.pt,1.0423063039779663,1.0,1.0,1.0,4,14,1013,
True,f8,f8,0.5_adam_dp_wd,0.5,adam,0.2,True,small,95,snapshots_clean/small/f8/0.5_adam_dp_wd/best_epoch_0095.pt,1.0687501430511475,0.40098716683119445,0.5,0.8733894945490586,4,6,1013,
True,f8,f8,0.5_sgd_dp,0.5,sgd,0.2,False,small,95,snapshots_clean/small/f8/0.5_sgd_dp/best_epoch_0095.pt,1.0345127582550049,0.4801538334978611,0.75,0.873637264618434,4,8,1013,
True,f8,f8,0.5_sgd_dp_wd,0.5,sgd,0.2,True,small,98,snapshots_clean/small/f8/0.5_sgd_dp_wd/best_epoch_0098.pt,1.0375964641571045,0.4801538334978611,0.75,0.8738850346878098,4,6,1013,
True,f8,f8,1.0_adam,1.0,adam,0.0,False,small,14,snapshots_clean/small/f8/1.0_adam/best_epoch_0014.pt,4.098049163818359,0.7509871668311945,0.75,0.8745044598612487,4,7,1013,
True,f8,f8,1.0_sgd,1.0,sgd,0.0,False,small,21,snapshots_clean/small/f8/1.0_sgd/best_epoch_0021.pt,4.087691783905029,0.2529615004935834,0.25,0.6242566897918731,4,3,1013,
True,f8,f8,1.0_adam_dp,1.0,adam,0.2,False,small,65,snapshots_clean/small/f8/1.0_adam_dp/best_epoch_0065.pt,4.159257888793945,0.003948667324777887,0.0,0.4985133795837463,4,3,1013,
True,f8,f8,1.0_adam_wd,1.0,adam,0.0,True,small,53,snapshots_clean/small/f8/1.0_adam_wd/best_epoch_0053.pt,4.1057305335998535,0.3769743336623889,0.5,0.7482656095143707,4,7,1013,
True,f8,f8,1.0_adam_dp_wd,1.0,adam,0.2,True,small,25,snapshots_clean/small/f8/1.0_adam_dp_wd/best_epoch_0025.pt,4.124577522277832,0.2936410003290556,0.5,0.7485133795837463,4,6,1013,
True,f8,f8,1.0_sgd_dp,1.0,sgd,0.2,False,small,56,snapshots_clean/small/f8/1.0_sgd_dp/best_epoch_0056.pt,4.090480804443359,0.4801538334978611,0.75,0.8740089197224975,4,5,1013,
True,f8,f8,1.0_sgd_dp_wd,1.0,sgd,0.2,True,small,90,snapshots_clean/small/f8/1.0_sgd_dp_wd/best_epoch_0090.pt,4.082263469696045,0.4801538334978611,0.75,0.8740089197224975,4,5,1013,
True,f8,f8,base_sgd_dp,0.0,sgd,0.2,False,small,73,snapshots_clean/small/f8/base_sgd_dp/best_epoch_0073.pt,0.04975324869155884,0.6458333333333333,1.0,0.9987611496531219,4,11,1013,
True,f8,f8,base_sgd_wd,0.0,sgd,0.0,True,small,42,snapshots_clean/small/f8/base_sgd_wd/best_epoch_0042.pt,0.004420253913849592,1.0,1.0,1.0,4,17,1013,
True,f8,f8,base_sgd_dp_wd,0.0,sgd,0.2,True,small,54,snapshots_clean/small/f8/base_sgd_dp_wd/best_epoch_0054.pt,0.035463690757751465,0.5666666666666667,0.8500000000000001,0.9982656095143706,4,10,1013,
True,f8,f8,0.1_sgd_wd,0.1,sgd,0.0,True,small,97,snapshots_clean/small/f8/0.1_sgd_wd/best_epoch_0097.pt,0.04794777184724808,0.3343205001645278,0.6875,0.8725222993062438,4,9,1013,
True,f8,f8,0.2_sgd_wd,0.2,sgd,0.0,True,small,98,snapshots_clean/small/f8/0.2_sgd_wd/best_epoch_0098.pt,0.17287692427635193,0.525,1.0,0.998017839444995,4,10,1013,
True,f8,f8,0.5_sgd_wd,0.5,sgd,0.0,True,small,63,snapshots_clean/small/f8/0.5_sgd_wd/best_epoch_0063.pt,1.0298736095428467,0.44265383349786114,0.625,0.8736372646184342,4,6,1013,
True,f8,f8,1.0_sgd_wd,1.0,sgd,0.0,True,small,28,snapshots_clean/small/f8/1.0_sgd_wd/best_epoch_0028.pt,4.100907802581787,0.2529615004935834,0.25,0.6242566897918731,4,3,1013,
