seed,function_name,condition,noise,optimizer,dropout,weight_decay,reg_state,model_size,auprc_full,val_loss,first_val_loss,last_val_loss,best_epoch,converged
42,f1,ms_base_n0p0,0.0,adam,0.0,False,base,small,0.1279615004935834,0.0017832443452479832,0.009693608936318692,0.0017832443452479832,100,True
42,f1,ms_dp_n0p0,0.0,adam,0.2,False,dropout,small,0.13530766699572228,0.006960784486356251,0.02164291389326149,0.010492490609473687,74,True
42,f1,ms_wd_n0p0,0.0,adam,0.0,True,weight_decay,small,0.2103076669957223,0.0020832239335620817,0.009189739214018621,0.0024710826977017396,68,True
42,f1,ms_dpwd_n0p0,0.0,adam,0.2,True,dropout+weight_decay,small,0.12376920545726074,0.008189347419055535,0.024295186287069573,0.018299302591526127,44,True
42,f1,ms_base_n0p5,0.5,adam,0.0,False,base,small,0.022192269724352648,0.21625355551851558,0.23807557355216208,0.21625355551851558,100,True
42,f1,ms_dp_n0p5,0.5,adam,0.2,False,dropout,small,0.08629483382691674,0.21969205838568667,0.24401171505451202,0.2225151482097646,73,True
42,f1,ms_wd_n0p5,0.5,adam,0.0,True,weight_decay,small,0.12376920545726074,0.2163713900966847,0.23898412683542739,0.219449686243179,99,True
42,f1,ms_dpwd_n0p5,0.5,adam,0.2,True,dropout+weight_decay,small,0.08629483382691674,0.22169236553476213,0.24878819477050862,0.22548453969524263,92,True
42,f1,ms_base_n1p0,1.0,adam,0.0,False,base,small,0.003948667324777887,0.8499127068418137,0.9135651379189593,0.8509928837735602,95,True
42,f1,ms_dp_n1p0,1.0,adam,0.2,False,dropout,small,0.06546150049358342,0.8515737690824143,0.8833639177870243,0.8515737690824143,100,True
42,f1,ms_wd_n1p0,1.0,adam,0.0,True,weight_decay,small,0.003948667324777887,0.8503611569708966,0.9267089278139966,0.8529158913074656,95,True
42,f1,ms_dpwd_n1p0,1.0,adam,0.2,True,dropout+weight_decay,small,0.08629483382691674,0.8541092707755717,0.9120073090208337,0.8564114450140202,55,True
42,f2,ms_base_n0p0,0.0,adam,0.0,False,base,small,0.2936410003290556,0.006979744046668898,0.0351212933421769,0.009257326155227232,92,True
42,f2,ms_dp_n0p0,0.0,adam,0.2,False,dropout,small,0.21030766699572226,0.028996997156200258,0.06143297175777719,0.03973167042862227,39,True
42,f2,ms_wd_n0p0,0.0,adam,0.0,True,weight_decay,small,0.2936410003290556,0.006926491004513933,0.04123515366239751,0.007772836829238432,92,True
42,f2,ms_dpwd_n0p0,0.0,adam,0.2,True,dropout+weight_decay,small,0.2103076669957223,0.02859598673642316,0.05550481216546069,0.03875274389506655,66,True
42,f2,ms_base_n0p5,0.5,adam,0.0,False,base,small,0.29364100032905555,0.19046143038158722,0.23580251412188752,0.19170685033214854,47,True
42,f2,ms_dp_n0p5,0.5,adam,0.2,False,dropout,small,0.25197433366238897,0.20676939340030892,0.24574773409899245,0.23259078584452894,96,True
42,f2,ms_wd_n0p5,0.5,adam,0.0,True,weight_decay,small,0.2936410003290556,0.1897014211466972,0.2361430327625985,0.19238289802315386,95,True
42,f2,ms_dpwd_n0p5,0.5,adam,0.2,True,dropout+weight_decay,small,0.2103076669957223,0.2078681486718198,0.24666564943308525,0.24377960220296332,96,False
42,f2,ms_base_n1p0,1.0,adam,0.0,False,base,small,0.1686410003290556,0.7170826180818233,0.7721091952729733,0.7323233133300822,73,True
42,f2,ms_dp_n1p0,1.0,adam,0.2,False,dropout,small,0.25197433366238897,0.7414460746531791,0.790916495500727,0.7947172452794745,47,False
42,f2,ms_wd_n1p0,1.0,adam,0.0,True,weight_decay,small,0.08629483382691674,0.7177694959843413,0.7739841652677414,0.7301439211723653,47,True
42,f2,ms_dpwd_n1p0,1.0,adam,0.2,True,dropout+weight_decay,small,0.18530766699572226,0.7429220911036146,0.7931523690832422,0.793029453526152,47,False
42,f3,ms_base_n0p0,0.0,adam,0.0,False,base,small,0.501974333662389,0.012929667153970358,0.09211224444369052,0.016519602100820617,90,True
42,f3,ms_dp_n0p0,0.0,adam,0.2,False,dropout,small,0.2529615004935834,0.07805371038774227,0.1446878470163396,0.0996794563500171,97,True
42,f3,ms_wd_n0p0,0.0,adam,0.0,True,weight_decay,small,0.6130952380952381,0.014109372116744201,0.09231496467552286,0.016440633803288987,53,True
42,f3,ms_dpwd_n0p0,0.0,adam,0.2,True,dropout+weight_decay,small,0.2529615004935834,0.07579063826260414,0.14749265248154073,0.08437560094480819,72,True
42,f3,ms_base_n0p5,0.5,adam,0.0,False,base,small,0.5009871668311945,0.6217660364952493,0.763146180738794,0.6306567106475222,50,True
42,f3,ms_dp_n0p5,0.5,adam,0.2,False,dropout,small,0.2529615004935834,0.6866001572380674,0.8085645969877852,0.7180659783647415,70,True
42,f3,ms_wd_n0p5,0.5,adam,0.0,True,weight_decay,small,0.4697371668311945,0.6238850491478088,0.7553090034647191,0.633127934121071,47,True
42,f3,ms_dpwd_n0p5,0.5,adam,0.2,True,dropout+weight_decay,small,0.2529615004935834,0.6897488604200647,0.8151680221582981,0.7461527230891776,68,True
42,f3,ms_base_n1p0,1.0,adam,0.0,False,base,small,0.2529615004935834,2.424136852964442,2.6830494505293827,2.461267727486631,34,True
42,f3,ms_dp_n1p0,1.0,adam,0.2,False,dropout,small,0.2529615004935834,2.4836236783798706,2.7104659524369747,2.517119254203553,50,True
42,f3,ms_wd_n1p0,1.0,adam,0.0,True,weight_decay,small,0.35197433366238895,2.4268268067786036,2.6892208114583442,2.44046413898468,96,True
42,f3,ms_dpwd_n1p0,1.0,adam,0.2,True,dropout+weight_decay,small,0.2529615004935834,2.4972445698494607,2.704302715494278,2.5709730805234705,48,True
42,f4,ms_base_n0p0,0.0,adam,0.0,False,base,small,0.381974333662389,0.018572324510425963,0.09640512096279479,0.020820790317226598,57,True
42,f4,ms_dp_n0p0,0.0,adam,0.2,False,dropout,small,0.4029615004935834,0.08556095122339878,0.16799241058686945,0.10095125159367602,67,True
42,f4,ms_wd_n0p0,0.0,adam,0.0,True,weight_decay,small,0.26962816716025007,0.015568218937024791,0.0950869629754031,0.018195834724192925,51,True
42,f4,ms_dpwd_n0p0,0.0,adam,0.2,True,dropout+weight_decay,small,0.4029615004935834,0.08449496249569223,0.17364475582825376,0.09438400037903735,97,True
42,f4,ms_base_n0p5,0.5,adam,0.0,False,base,small,0.6533333333333333,0.6778044824270492,0.8281437504164716,0.6853877245745761,86,True
42,f4,ms_dp_n0p5,0.5,adam,0.2,False,dropout,small,0.4029615004935834,0.7388020367064374,0.8987899156326943,0.7515601449190302,97,True
42,f4,ms_wd_n0p5,0.5,adam,0.0,True,weight_decay,small,0.4698760557200834,0.6824552175846506,0.8360828728751933,0.6908492357172864,50,True
42,f4,ms_dpwd_n0p5,0.5,adam,0.2,True,dropout+weight_decay,small,0.4029615004935834,0.7518438360792525,0.8935450835430876,0.7725452171995285,48,True
42,f4,ms_base_n1p0,1.0,adam,0.0,False,base,small,0.30296150049358345,2.6432068259158035,2.903002546188679,2.663545329520043,29,True
42,f4,ms_dp_n1p0,1.0,adam,0.2,False,dropout,small,0.2039486673247779,2.6984939473740597,2.961530939061591,2.7384178156548358,50,True
42,f4,ms_wd_n1p0,1.0,adam,0.0,True,weight_decay,small,0.34864100032905565,2.636654220997019,2.908063511899177,2.65731041355336,29,True
42,f4,ms_dpwd_n1p0,1.0,adam,0.2,True,dropout+weight_decay,small,0.4029615004935834,2.6872358106552285,2.915264947617308,2.7189168486189335,29,True
42,f5,ms_base_n0p0,0.0,adam,0.0,False,base,small,0.95,0.003002385236075188,0.023675987447433648,0.004737411935298526,80,True
42,f5,ms_dp_n0p0,0.0,adam,0.2,False,dropout,small,0.501974333662389,0.019156315363943577,0.04891987862263588,0.024481290327186916,87,True
42,f5,ms_wd_n0p0,0.0,adam,0.0,True,weight_decay,small,0.95,0.003902717812997388,0.024563656674024274,0.006304342061915296,75,True
42,f5,ms_dpwd_n0p0,0.0,adam,0.2,True,dropout+weight_decay,small,0.501974333662389,0.01387498911688144,0.05451794458117257,0.017165915495616958,87,True
42,f5,ms_base_n0p5,0.5,adam,0.0,False,base,small,0.95,0.12846660154296996,0.16121384136854333,0.130123967740764,96,True
42,f5,ms_dp_n0p5,0.5,adam,0.2,False,dropout,small,0.501974333662389,0.15136560631242205,0.16850694498800217,0.15155337861877807,95,True
42,f5,ms_wd_n0p5,0.5,adam,0.0,True,weight_decay,small,0.95,0.12767187458403567,0.16233231365046602,0.1292911099785186,47,True
42,f5,ms_dpwd_n0p5,0.5,adam,0.2,True,dropout+weight_decay,small,0.501974333662389,0.13955615944367775,0.16899433795441973,0.1453336457464289,75,True
42,f5,ms_base_n1p0,1.0,adam,0.0,False,base,small,0.8875,0.4922344573634736,0.5305311904942736,0.4942530504566558,71,True
42,f5,ms_dp_n1p0,1.0,adam,0.2,False,dropout,small,0.501974333662389,0.5065873845460567,0.5325207488333925,0.5164428600605498,19,True
42,f5,ms_wd_n1p0,1.0,adam,0.0,True,weight_decay,small,0.8303571428571428,0.49263965481139244,0.5301417514998862,0.4958313224797553,71,True
42,f5,ms_dpwd_n1p0,1.0,adam,0.2,True,dropout+weight_decay,small,0.501974333662389,0.507306345599763,0.5321788955876168,0.5133915809874839,72,True
42,f6,ms_base_n0p0,0.0,adam,0.0,False,base,small,0.5676538334978611,0.005778841798173937,0.20240977850366146,0.025638307999581732,97,True
