function_name,experiment_name,noise,optimizer,dropout,weight_decay,auroc,precision,recall,num_gt,num_detected,num_exact_matched,num_superset_matched_unique,num_matched,matched_pairs,best_epoch,val_loss,success
f6,0.2_sgd,0.2,sgd,0.0,False,0.25,1.0,0.25,4,6,3,1,4,"[{'gt': frozenset({3, 4}), 'nid': frozenset({3, 4}), 'match_type': 'exact', 'extra_features': 0, 'strength': 33.279293060302734}, {'gt': frozenset({8, 5, 6}), 'nid': frozenset({8, 5, 6}), 'match_type': 'exact', 'extra_features': 0, 'strength': 1.8146107196807861}, {'gt': frozenset({8, 9, 10}), 'nid': frozenset({8, 9, 10}), 'match_type': 'exact', 'extra_features': 0, 'strength': 2.346849203109741}, {'gt': frozenset({1, 2}), 'nid': frozenset({1, 2, 3, 4, 5, 6, 7, 8, 9, 10}), 'match_type': 'superset', 'extra_features': 8, 'strength': 1.7406822443008423}]",70,0.4670935273170471,True
f6,0.2_adam_dp,0.2,adam,0.2,False,0.5,1.0,0.25,4,5,2,2,4,"[{'gt': frozenset({3, 4}), 'nid': frozenset({3, 4}), 'match_type': 'exact', 'extra_features': 0, 'strength': 123.27458953857422}, {'gt': frozenset({1, 2}), 'nid': frozenset({1, 2}), 'match_type': 'exact', 'extra_features': 0, 'strength': 22.790138244628906}, {'gt': frozenset({8, 5, 6}), 'nid': frozenset({3, 4, 5, 6, 8}), 'match_type': 'superset', 'extra_features': 2, 'strength': 13.303504943847656}, {'gt': frozenset({8, 9, 10}), 'nid': frozenset({1, 2, 3, 4, 5, 6, 7, 8, 9, 10}), 'match_type': 'superset', 'extra_features': 7, 'strength': 1.664926528930664}]",32,0.6740108728408813,True
f6,0.2_adam_wd,0.2,adam,0.0,True,0.625,1.0,0.25,4,9,2,2,4,"[{'gt': frozenset({3, 4}), 'nid': frozenset({3, 4}), 'match_type': 'exact', 'extra_features': 0, 'strength': 16.140352249145508}, {'gt': frozenset({8, 5, 6}), 'nid': frozenset({8, 5, 6}), 'match_type': 'exact', 'extra_features': 0, 'strength': 0.9930367469787598}, {'gt': frozenset({1, 2}), 'nid': frozenset({1, 2, 3, 4, 5, 7, 8}), 'match_type': 'superset', 'extra_features': 5, 'strength': 0.19324296712875366}, {'gt': frozenset({8, 9, 10}), 'nid': frozenset({1, 2, 3, 4, 5, 6, 7, 8, 9, 10}), 'match_type': 'superset', 'extra_features': 7, 'strength': 0.11797092854976654}]",97,0.9222172498703003,True
f6,0.2_adam_dp_wd,0.2,adam,0.2,True,0.375,1.0,0.25,4,5,1,2,3,"[{'gt': frozenset({3, 4}), 'nid': frozenset({3, 4}), 'match_type': 'exact', 'extra_features': 0, 'strength': 16.196779251098633}, {'gt': frozenset({8, 5, 6}), 'nid': frozenset({3, 4, 5, 6, 8}), 'match_type': 'superset', 'extra_features': 2, 'strength': 1.6918953657150269}, {'gt': frozenset({8, 9, 10}), 'nid': frozenset({1, 2, 3, 4, 5, 6, 7, 8, 9, 10}), 'match_type': 'superset', 'extra_features': 7, 'strength': 0.29976165294647217}]",32,1.1584559679031372,True
f6,0.2_sgd_dp,0.2,sgd,0.2,False,0.65,1.0,0.5,4,10,2,2,4,"[{'gt': frozenset({3, 4}), 'nid': frozenset({3, 4}), 'match_type': 'exact', 'extra_features': 0, 'strength': 73.8316879272461}, {'gt': frozenset({1, 2}), 'nid': frozenset({1, 2}), 'match_type': 'exact', 'extra_features': 0, 'strength': 15.093817710876465}, {'gt': frozenset({8, 5, 6}), 'nid': frozenset({3, 4, 5, 6, 8}), 'match_type': 'superset', 'extra_features': 2, 'strength': 4.174842357635498}, {'gt': frozenset({8, 9, 10}), 'nid': frozenset({1, 2, 3, 4, 5, 6, 7, 8, 9, 10}), 'match_type': 'superset', 'extra_features': 7, 'strength': 0.8700138330459595}]",26,0.5360322594642639,True
f6,0.2_sgd_dp_wd,0.2,sgd,0.2,True,0.375,1.0,0.25,4,5,1,2,3,"[{'gt': frozenset({3, 4}), 'nid': frozenset({3, 4}), 'match_type': 'exact', 'extra_features': 0, 'strength': 15.763856887817383}, {'gt': frozenset({8, 5, 6}), 'nid': frozenset({3, 4, 5, 6, 8}), 'match_type': 'superset', 'extra_features': 2, 'strength': 1.1681467294692993}, {'gt': frozenset({8, 9, 10}), 'nid': frozenset({1, 2, 3, 4, 5, 6, 7, 8, 9, 10}), 'match_type': 'superset', 'extra_features': 7, 'strength': 0.15856768190860748}]",78,0.9882509708404541,True
f6,0.5_adam,0.5,adam,0.0,False,0.5,1.0,0.25,4,7,2,2,4,"[{'gt': frozenset({3, 4}), 'nid': frozenset({3, 4}), 'match_type': 'exact', 'extra_features': 0, 'strength': 36.012290954589844}, {'gt': frozenset({8, 9, 10}), 'nid': frozenset({8, 9, 10}), 'match_type': 'exact', 'extra_features': 0, 'strength': 2.089974880218506}, {'gt': frozenset({8, 5, 6}), 'nid': frozenset({3, 4, 5, 6, 8}), 'match_type': 'superset', 'extra_features': 2, 'strength': 5.626209735870361}, {'gt': frozenset({1, 2}), 'nid': frozenset({1, 2, 3, 4, 5, 6, 7, 8, 9, 10}), 'match_type': 'superset', 'extra_features': 8, 'strength': 1.6214542388916016}]",16,2.901869773864746,True
f6,0.5_sgd,0.5,sgd,0.0,False,0.25,1.0,0.25,4,3,1,1,2,"[{'gt': frozenset({3, 4}), 'nid': frozenset({3, 4}), 'match_type': 'exact', 'extra_features': 0, 'strength': 30.644840240478516}, {'gt': frozenset({8, 5, 6}), 'nid': frozenset({1, 2, 3, 4, 5, 6, 7, 8, 9, 10}), 'match_type': 'superset', 'extra_features': 7, 'strength': 2.528054714202881}]",27,2.8277015686035156,True
f6,0.5_adam_dp,0.5,adam,0.2,False,0.65,1.0,0.5,4,9,2,2,4,"[{'gt': frozenset({3, 4}), 'nid': frozenset({3, 4}), 'match_type': 'exact', 'extra_features': 0, 'strength': 127.2489242553711}, {'gt': frozenset({1, 2}), 'nid': frozenset({1, 2}), 'match_type': 'exact', 'extra_features': 0, 'strength': 41.291954040527344}, {'gt': frozenset({8, 5, 6}), 'nid': frozenset({3, 4, 5, 6, 8}), 'match_type': 'superset', 'extra_features': 2, 'strength': 12.712944030761719}, {'gt': frozenset({8, 9, 10}), 'nid': frozenset({1, 2, 3, 4, 5, 6, 7, 8, 9, 10}), 'match_type': 'superset', 'extra_features': 7, 'strength': 2.869185447692871}]",34,2.9825804233551025,True
f6,0.5_adam_wd,0.5,adam,0.0,True,0.5,1.0,0.25,4,12,2,1,3,"[{'gt': frozenset({3, 4}), 'nid': frozenset({3, 4}), 'match_type': 'exact', 'extra_features': 0, 'strength': 15.691155433654785}, {'gt': frozenset({8, 5, 6}), 'nid': frozenset({8, 5, 6}), 'match_type': 'exact', 'extra_features': 0, 'strength': 0.7870165109634399}, {'gt': frozenset({8, 9, 10}), 'nid': frozenset({1, 2, 3, 4, 5, 6, 7, 8, 9, 10}), 'match_type': 'superset', 'extra_features': 7, 'strength': 0.1367197185754776}]",85,3.269717216491699,True
