function_name,experiment_name,noise,optimizer,dropout,weight_decay,auroc,precision,recall,num_gt,num_detected,num_exact_matched,num_superset_matched_unique,num_matched,matched_pairs,best_epoch,val_loss,success
f9,base_adam,0.0,adam,0.0,False,0.5,1.0,0.5,4,14,2,2,4,"[{'gt': frozenset({5, 6}), 'nid': frozenset({5, 6}), 'match_type': 'exact', 'extra_features': 0, 'strength': 5.021345615386963}, {'gt': frozenset({9, 10}), 'nid': frozenset({9, 10}), 'match_type': 'exact', 'extra_features': 0, 'strength': 2.2189621925354004}, {'gt': frozenset({1, 2, 3, 4, 5}), 'nid': frozenset({1, 2, 3, 4, 5, 6}), 'match_type': 'superset', 'extra_features': 1, 'strength': 0.09027157723903656}, {'gt': frozenset({8, 6, 7}), 'nid': frozenset({1, 2, 3, 4, 5, 6, 7, 8, 9, 10}), 'match_type': 'superset', 'extra_features': 7, 'strength': 0.0732746496796608}]",91,0.00873605627566576,True
f9,base_sgd,0.0,sgd,0.0,False,0.5,1.0,0.5,4,8,2,1,3,"[{'gt': frozenset({5, 6}), 'nid': frozenset({5, 6}), 'match_type': 'exact', 'extra_features': 0, 'strength': 5.68990421295166}, {'gt': frozenset({9, 10}), 'nid': frozenset({9, 10}), 'match_type': 'exact', 'extra_features': 0, 'strength': 6.992447376251221}, {'gt': frozenset({1, 2, 3, 4, 5}), 'nid': frozenset({1, 2, 3, 4, 5, 6, 7, 8, 9, 10}), 'match_type': 'superset', 'extra_features': 5, 'strength': 1.7811157703399658}]",98,0.008494860492646694,True
f9,0.1_adam,0.1,adam,0.0,False,0.5,1.0,0.5,4,15,2,1,3,"[{'gt': frozenset({5, 6}), 'nid': frozenset({5, 6}), 'match_type': 'exact', 'extra_features': 0, 'strength': 4.817410469055176}, {'gt': frozenset({9, 10}), 'nid': frozenset({9, 10}), 'match_type': 'exact', 'extra_features': 0, 'strength': 2.7166876792907715}, {'gt': frozenset({1, 2, 3, 4, 5}), 'nid': frozenset({1, 2, 3, 4, 5, 6, 7, 8, 9, 10}), 'match_type': 'superset', 'extra_features': 5, 'strength': 0.054907266050577164}]",77,0.024431537836790085,True
f9,0.1_sgd,0.1,sgd,0.0,False,0.5,0.4,0.5,4,21,2,1,3,"[{'gt': frozenset({5, 6}), 'nid': frozenset({5, 6}), 'match_type': 'exact', 'extra_features': 0, 'strength': 3.610093832015991}, {'gt': frozenset({9, 10}), 'nid': frozenset({9, 10}), 'match_type': 'exact', 'extra_features': 0, 'strength': 5.12147855758667}, {'gt': frozenset({1, 2, 3, 4, 5}), 'nid': frozenset({1, 2, 3, 4, 5, 6, 7, 8, 9, 10}), 'match_type': 'superset', 'extra_features': 5, 'strength': 1.1509209871292114}]",96,0.02545715868473053,True
f9,0.1_adam_dp,0.1,adam,0.2,False,0.5,1.0,0.5,4,11,2,1,3,"[{'gt': frozenset({5, 6}), 'nid': frozenset({5, 6}), 'match_type': 'exact', 'extra_features': 0, 'strength': 42.92255783081055}, {'gt': frozenset({9, 10}), 'nid': frozenset({9, 10}), 'match_type': 'exact', 'extra_features': 0, 'strength': 34.36960983276367}, {'gt': frozenset({1, 2, 3, 4, 5}), 'nid': frozenset({1, 2, 3, 4, 5, 6, 7, 8, 9, 10}), 'match_type': 'superset', 'extra_features': 5, 'strength': 2.3660738468170166}]",13,0.05840539559721947,True
f9,0.1_adam_wd,0.1,adam,0.0,True,0.5,0.4,0.5,4,12,2,2,4,"[{'gt': frozenset({5, 6}), 'nid': frozenset({5, 6}), 'match_type': 'exact', 'extra_features': 0, 'strength': 2.112314462661743}, {'gt': frozenset({9, 10}), 'nid': frozenset({9, 10}), 'match_type': 'exact', 'extra_features': 0, 'strength': 0.6766020655632019}, {'gt': frozenset({1, 2, 3, 4, 5}), 'nid': frozenset({1, 2, 3, 4, 5, 6, 9}), 'match_type': 'superset', 'extra_features': 2, 'strength': 0.040940091013908386}, {'gt': frozenset({8, 6, 7}), 'nid': frozenset({1, 2, 3, 4, 5, 6, 7, 8, 9, 10}), 'match_type': 'superset', 'extra_features': 7, 'strength': 0.03245244547724724}]",90,0.1350751668214798,True
f9,0.1_adam_dp_wd,0.1,adam,0.2,True,0.25,0.5,0.25,4,7,1,2,3,"[{'gt': frozenset({5, 6}), 'nid': frozenset({5, 6}), 'match_type': 'exact', 'extra_features': 0, 'strength': 2.243223190307617}, {'gt': frozenset({9, 10}), 'nid': frozenset({9, 10, 5, 6}), 'match_type': 'superset', 'extra_features': 2, 'strength': 0.4925004541873932}, {'gt': frozenset({1, 2, 3, 4, 5}), 'nid': frozenset({1, 2, 3, 4, 5, 6, 7, 8, 9, 10}), 'match_type': 'superset', 'extra_features': 5, 'strength': 0.1190953254699707}]",88,0.20603111386299133,True
f9,0.1_sgd_dp,0.1,sgd,0.2,False,0.5,0.6666666666666666,0.5,4,11,2,2,4,"[{'gt': frozenset({5, 6}), 'nid': frozenset({5, 6}), 'match_type': 'exact', 'extra_features': 0, 'strength': 28.425670623779297}, {'gt': frozenset({9, 10}), 'nid': frozenset({9, 10}), 'match_type': 'exact', 'extra_features': 0, 'strength': 11.622942924499512}, {'gt': frozenset({1, 2, 3, 4, 5}), 'nid': frozenset({1, 2, 3, 4, 5, 6}), 'match_type': 'superset', 'extra_features': 1, 'strength': 2.0213093757629395}, {'gt': frozenset({8, 6, 7}), 'nid': frozenset({1, 2, 3, 4, 5, 6, 7, 8, 9, 10}), 'match_type': 'superset', 'extra_features': 7, 'strength': 1.9759050607681274}]",95,0.03663597255945206,True
f9,0.1_sgd_dp_wd,0.1,sgd,0.2,True,0.5,0.6666666666666666,0.5,4,9,2,2,4,"[{'gt': frozenset({5, 6}), 'nid': frozenset({5, 6}), 'match_type': 'exact', 'extra_features': 0, 'strength': 2.0925369262695312}, {'gt': frozenset({9, 10}), 'nid': frozenset({9, 10}), 'match_type': 'exact', 'extra_features': 0, 'strength': 0.5677060484886169}, {'gt': frozenset({1, 2, 3, 4, 5}), 'nid': frozenset({1, 2, 3, 4, 5, 6}), 'match_type': 'superset', 'extra_features': 1, 'strength': 0.0573626384139061}, {'gt': frozenset({8, 6, 7}), 'nid': frozenset({1, 2, 3, 4, 5, 6, 7, 8, 9, 10}), 'match_type': 'superset', 'extra_features': 7, 'strength': 0.0199893731623888}]",94,0.16176113486289978,True
f9,0.2_adam,0.2,adam,0.0,False,0.75,1.0,0.5,4,10,3,1,4,"[{'gt': frozenset({1, 2, 3, 4, 5}), 'nid': frozenset({1, 2, 3, 4, 5}), 'match_type': 'exact', 'extra_features': 0, 'strength': 0.25579380989074707}, {'gt': frozenset({5, 6}), 'nid': frozenset({5, 6}), 'match_type': 'exact', 'extra_features': 0, 'strength': 5.50999641418457}, {'gt': frozenset({9, 10}), 'nid': frozenset({9, 10}), 'match_type': 'exact', 'extra_features': 0, 'strength': 3.3428292274475098}, {'gt': frozenset({8, 6, 7}), 'nid': frozenset({1, 2, 3, 4, 5, 6, 7, 8, 9, 10}), 'match_type': 'superset', 'extra_features': 7, 'strength': 0.1244024932384491}]",78,0.07844845950603485,True
