epoch,function_name,experiment,noise,optimizer,dropout,weight_decay,model_size,val_loss,auprc,auprc_full,auroc,auroc_full,success,error,checkpoint_path
28,f1,base_adam,0.0,adam,0.0,False,small,0.005680850241333246,0.20833333333333331,0.05296150049358342,0.225,0.6147175421209118,True,,snapshots_clean/small/f1/base_adam/epoch_0028.pt
29,f1,base_adam,0.0,adam,0.0,False,small,0.0030635325238108635,0.25,0.11471943170160462,0.3625,0.739593657086224,True,,snapshots_clean/small/f1/base_adam/epoch_0029.pt
30,f1,base_adam,0.0,adam,0.0,False,small,0.002925574779510498,0.2467948717948718,0.11308544477350005,0.35,0.7393458870168483,True,,snapshots_clean/small/f1/base_adam/epoch_0030.pt
31,f1,base_adam,0.0,adam,0.0,False,small,0.005459366831928492,0.6031468531468531,0.3343205001645278,0.6111111111111112,0.8679385530227949,True,,snapshots_clean/small/f1/base_adam/epoch_0031.pt
32,f1,base_adam,0.0,adam,0.0,False,small,0.004096851218491793,0.4781468531468531,0.2509871668311945,0.5833333333333333,0.867195242814668,True,,snapshots_clean/small/f1/base_adam/epoch_0032.pt
33,f1,base_adam,0.0,adam,0.0,False,small,0.003682408481836319,0.4809782608695652,0.25343814722335134,0.605263157894737,0.8673191278493557,True,,snapshots_clean/small/f1/base_adam/epoch_0033.pt
34,f1,base_adam,0.0,adam,0.0,False,small,0.002362561644986272,0.5454545454545454,0.29416898501301264,0.6527777777777778,0.8695490584737363,True,,snapshots_clean/small/f1/base_adam/epoch_0034.pt
35,f1,base_adam,0.0,adam,0.0,False,small,0.0025686153676360846,0.5434782608695652,0.28848716683119446,0.6578947368421053,0.869053518334985,True,,snapshots_clean/small/f1/base_adam/epoch_0035.pt
36,f1,base_adam,0.0,adam,0.0,False,small,0.002938512247055769,0.54,0.29416898501301264,0.6666666666666666,0.8691774033696729,True,,snapshots_clean/small/f1/base_adam/epoch_0036.pt
37,f1,base_adam,0.0,adam,0.0,False,small,0.002445235615596175,0.5538949275362319,0.29416898501301264,0.6710526315789475,0.8693012884043607,True,,snapshots_clean/small/f1/base_adam/epoch_0037.pt
38,f1,base_adam,0.0,adam,0.0,False,small,0.003010671818628907,0.5454545454545454,0.28848716683119446,0.6527777777777778,0.8691774033696729,True,,snapshots_clean/small/f1/base_adam/epoch_0038.pt
39,f1,base_adam,0.0,adam,0.0,False,small,0.002689146902412176,0.5059523809523809,0.277502318346346,0.6323529411764706,0.8694251734390487,True,,snapshots_clean/small/f1/base_adam/epoch_0039.pt
40,f1,base_adam,0.0,adam,0.0,False,small,0.0027782695833593607,0.5488782051282051,0.3009871668311945,0.6818181818181819,0.8693012884043606,True,,snapshots_clean/small/f1/base_adam/epoch_0040.pt
41,f1,base_adam,0.0,adam,0.0,False,small,0.002899465151131153,0.8125,0.5166666666666666,0.9375,0.9972745292368682,True,,snapshots_clean/small/f1/base_adam/epoch_0041.pt
42,f1,base_adam,0.0,adam,0.0,False,small,0.004519798327237368,0.7875,0.44166666666666665,0.9204545454545454,0.9957879088206145,True,,snapshots_clean/small/f1/base_adam/epoch_0042.pt
43,f1,base_adam,0.0,adam,0.0,False,small,0.005048301536589861,0.6875,0.4088235294117647,0.8999999999999999,0.9950445986124876,True,,snapshots_clean/small/f1/base_adam/epoch_0043.pt
44,f1,base_adam,0.0,adam,0.0,False,small,0.0026589729823172092,0.6875,0.4625,0.8809523809523809,0.9957879088206145,True,,snapshots_clean/small/f1/base_adam/epoch_0044.pt
45,f1,base_adam,0.0,adam,0.0,False,small,0.0030842346604913473,0.6052188552188552,0.34265383349786116,0.6630434782608696,0.8681863230921705,True,,snapshots_clean/small/f1/base_adam/epoch_0045.pt
46,f1,base_adam,0.0,adam,0.0,False,small,0.0023094338830560446,0.6950757575757576,0.4666666666666667,0.8977272727272727,0.99603567888999,True,,snapshots_clean/small/f1/base_adam/epoch_0046.pt
47,f1,base_adam,0.0,adam,0.0,False,small,0.002058141166344285,0.6875,0.4625,0.9038461538461539,0.9957879088206145,True,,snapshots_clean/small/f1/base_adam/epoch_0047.pt
48,f1,base_adam,0.0,adam,0.0,False,small,0.003299062605947256,0.7708333333333333,0.5083333333333333,0.90625,0.9962834489593656,True,,snapshots_clean/small/f1/base_adam/epoch_0048.pt
49,f1,base_adam,0.0,adam,0.0,False,small,0.0036204676143825054,0.6875,0.4625,0.8913043478260869,0.9957879088206144,True,,snapshots_clean/small/f1/base_adam/epoch_0049.pt
50,f1,base_adam,0.0,adam,0.0,False,small,0.0028252340853214264,0.8333333333333333,0.5458333333333333,0.9130434782608696,0.9965312190287413,True,,snapshots_clean/small/f1/base_adam/epoch_0050.pt
51,f1,base_adam,0.0,adam,0.0,False,small,0.002253734739497304,0.6810897435897436,0.4666666666666667,0.89,0.99603567888999,True,,snapshots_clean/small/f1/base_adam/epoch_0051.pt
52,f1,base_adam,0.0,adam,0.0,False,small,0.002350096357986331,0.6875,0.4666666666666667,0.8913043478260869,0.99603567888999,True,,snapshots_clean/small/f1/base_adam/epoch_0052.pt
53,f1,base_adam,0.0,adam,0.0,False,small,0.004655209835618734,0.6810897435897436,0.4625,0.8854166666666667,0.9957879088206144,True,,snapshots_clean/small/f1/base_adam/epoch_0053.pt
54,f1,base_adam,0.0,adam,0.0,False,small,0.00261703017167747,0.6810897435897436,0.4666666666666667,0.8804347826086957,0.99603567888999,True,,snapshots_clean/small/f1/base_adam/epoch_0054.pt
55,f1,base_adam,0.0,adam,0.0,False,small,0.002652073511853814,0.6810897435897436,0.4625,0.8804347826086957,0.9957879088206144,True,,snapshots_clean/small/f1/base_adam/epoch_0055.pt
56,f1,base_adam,0.0,adam,0.0,False,small,0.005195051431655884,0.6950757575757576,0.4714285714285714,0.8928571428571429,0.9962834489593656,True,,snapshots_clean/small/f1/base_adam/epoch_0056.pt
57,f1,base_adam,0.0,adam,0.0,False,small,0.00243166321888566,0.6950757575757576,0.4714285714285714,0.8875,0.9962834489593657,True,,snapshots_clean/small/f1/base_adam/epoch_0057.pt
58,f1,base_adam,0.0,adam,0.0,False,small,0.0023846663534641266,0.6810897435897436,0.4625,0.8749999999999999,0.9957879088206145,True,,snapshots_clean/small/f1/base_adam/epoch_0058.pt
59,f1,base_adam,0.0,adam,0.0,False,small,0.0025828664656728506,0.7784090909090909,0.5185897435897435,0.9047619047619049,0.9967789890981168,True,,snapshots_clean/small/f1/base_adam/epoch_0059.pt
60,f1,base_adam,0.0,adam,0.0,False,small,0.002727910876274109,0.7708333333333333,0.5083333333333333,0.8977272727272727,0.9962834489593656,True,,snapshots_clean/small/f1/base_adam/epoch_0060.pt
61,f1,base_adam,0.0,adam,0.0,False,small,0.0029962449334561825,0.675595238095238,0.4588235294117647,0.8571428571428572,0.9955401387512388,True,,snapshots_clean/small/f1/base_adam/epoch_0061.pt
62,f1,base_adam,0.0,adam,0.0,False,small,0.0031585432589054108,0.6041666666666666,0.34265383349786116,0.6375000000000001,0.8686818632309217,True,,snapshots_clean/small/f1/base_adam/epoch_0062.pt
63,f1,base_adam,0.0,adam,0.0,False,small,0.0027719330973923206,0.675595238095238,0.4588235294117647,0.8695652173913044,0.9955401387512389,True,,snapshots_clean/small/f1/base_adam/epoch_0063.pt
64,f1,base_adam,0.0,adam,0.0,False,small,0.002170589054003358,0.5176282051282051,0.3009871668311945,0.6363636363636362,0.8681863230921705,True,,snapshots_clean/small/f1/base_adam/epoch_0064.pt
65,f1,base_adam,0.0,adam,0.0,False,small,0.0020856920164078474,0.5265151515151515,0.30455859540262303,0.6375,0.8686818632309217,True,,snapshots_clean/small/f1/base_adam/epoch_0065.pt
66,f1,base_adam,0.0,adam,0.0,False,small,0.004785376600921154,0.6810897435897436,0.4625,0.8749999999999999,0.9957879088206145,True,,snapshots_clean/small/f1/base_adam/epoch_0066.pt
67,f1,base_adam,0.0,adam,0.0,False,small,0.003037030342966318,0.6810897435897436,0.4625,0.8690476190476191,0.9957879088206144,True,,snapshots_clean/small/f1/base_adam/epoch_0067.pt
68,f1,base_adam,0.0,adam,0.0,False,small,0.002474807668477297,0.675595238095238,0.4588235294117647,0.8571428571428572,0.9955401387512388,True,,snapshots_clean/small/f1/base_adam/epoch_0068.pt
69,f1,base_adam,0.0,adam,0.0,False,small,0.0021579160820692778,0.675595238095238,0.4588235294117647,0.8636363636363635,0.9955401387512389,True,,snapshots_clean/small/f1/base_adam/epoch_0069.pt
70,f1,base_adam,0.0,adam,0.0,False,small,0.00643170066177845,0.47596153846153844,0.2759871668311945,0.625,0.8679385530227949,True,,snapshots_clean/small/f1/base_adam/epoch_0070.pt
71,f1,base_adam,0.0,adam,0.0,False,small,0.0029143602587282658,0.6875,0.4666666666666667,0.8913043478260869,0.99603567888999,True,,snapshots_clean/small/f1/base_adam/epoch_0071.pt
72,f1,base_adam,0.0,adam,0.0,False,small,0.002052335301414132,0.6708333333333333,0.45555555555555555,0.8522727272727273,0.9952923686818632,True,,snapshots_clean/small/f1/base_adam/epoch_0072.pt
73,f1,base_adam,0.0,adam,0.0,False,small,0.0025553761515766382,0.6708333333333333,0.45555555555555555,0.8452380952380952,0.9952923686818631,True,,snapshots_clean/small/f1/base_adam/epoch_0073.pt
74,f1,base_adam,0.0,adam,0.0,False,small,0.01827871985733509,0.6708333333333333,0.45555555555555555,0.8522727272727273,0.9952923686818632,True,,snapshots_clean/small/f1/base_adam/epoch_0074.pt
75,f1,base_adam,0.0,adam,0.0,False,small,0.0032847828697413206,0.6708333333333333,0.45555555555555555,0.8522727272727273,0.9952923686818632,True,,snapshots_clean/small/f1/base_adam/epoch_0075.pt
