epoch,function_name,experiment,noise,optimizer,dropout,weight_decay,model_size,val_loss,auprc,auprc_full,auroc,auroc_full,success,error,checkpoint_path
35.0,f1,dropout_p0.0,0.0,adam,0.0,False,small,0.0025686153676360846,0.5434782608695652,0.28848716683119446,0.6578947368421053,0.869053518334985,True,,snapshots_probe/small/f1/dropout_p0.0/epoch_0035.pt
36.0,f1,dropout_p0.0,0.0,adam,0.0,False,small,0.002938512247055769,0.54,0.29416898501301264,0.6666666666666666,0.8691774033696729,True,,snapshots_probe/small/f1/dropout_p0.0/epoch_0036.pt
37.0,f1,dropout_p0.0,0.0,adam,0.0,False,small,0.002445235615596175,0.5538949275362319,0.29416898501301264,0.6710526315789475,0.8693012884043607,True,,snapshots_probe/small/f1/dropout_p0.0/epoch_0037.pt
38.0,f1,dropout_p0.0,0.0,adam,0.0,False,small,0.003010671818628907,0.5454545454545454,0.28848716683119446,0.6527777777777778,0.8691774033696729,True,,snapshots_probe/small/f1/dropout_p0.0/epoch_0038.pt
39.0,f1,dropout_p0.0,0.0,adam,0.0,False,small,0.002689146902412176,0.5059523809523809,0.277502318346346,0.6323529411764706,0.8694251734390487,True,,snapshots_probe/small/f1/dropout_p0.0/epoch_0039.pt
40.0,f1,dropout_p0.0,0.0,adam,0.0,False,small,0.0027782695833593607,0.5488782051282051,0.3009871668311945,0.6818181818181819,0.8693012884043606,True,,snapshots_probe/small/f1/dropout_p0.0/epoch_0040.pt
41.0,f1,dropout_p0.0,0.0,adam,0.0,False,small,0.002899465151131153,0.8125,0.5166666666666666,0.9375,0.9972745292368682,True,,snapshots_probe/small/f1/dropout_p0.0/epoch_0041.pt
42.0,f1,dropout_p0.0,0.0,adam,0.0,False,small,0.004519798327237368,0.7875,0.44166666666666665,0.9204545454545454,0.9957879088206145,True,,snapshots_probe/small/f1/dropout_p0.0/epoch_0042.pt
43.0,f1,dropout_p0.0,0.0,adam,0.0,False,small,0.005048301536589861,0.6875,0.4088235294117647,0.8999999999999999,0.9950445986124876,True,,snapshots_probe/small/f1/dropout_p0.0/epoch_0043.pt
44.0,f1,dropout_p0.0,0.0,adam,0.0,False,small,0.0026589729823172092,0.6875,0.4625,0.8809523809523809,0.9957879088206145,True,,snapshots_probe/small/f1/dropout_p0.0/epoch_0044.pt
45.0,f1,dropout_p0.0,0.0,adam,0.0,False,small,0.0030842346604913473,0.6052188552188552,0.34265383349786116,0.6630434782608696,0.8681863230921705,True,,snapshots_probe/small/f1/dropout_p0.0/epoch_0045.pt
