function_name,experiment_name,noise,optimizer,dropout,weight_decay,auroc,precision,recall,auprc,auroc_full,precision_full,recall_full,auprc_full,num_gt,num_detected,num_exact_matched,num_superset_matched_unique,num_matched,matched_pairs,best_epoch,val_loss,success,model_size
f8,0.2_adam_dp_wd,0.2,adam,0.2,True,0.75,1.0,0.5,0.94375,0.8733894945490585,0.5,0.75,0.36716025008226394,4,6,3,1,4,"[{'gt': frozenset({3, 4, 5, 7}), 'nid': frozenset({3, 4, 5, 7}), 'match_type': 'exact', 'extra_features': 0, 'strength': 48.366390228271484}, {'gt': frozenset({3, 5, 6}), 'nid': frozenset({3, 5, 6}), 'match_type': 'exact', 'extra_features': 0, 'strength': 53.10620880126953}, {'gt': frozenset({1, 2}), 'nid': frozenset({1, 2}), 'match_type': 'exact', 'extra_features': 0, 'strength': 130.13876342773438}, {'gt': frozenset({8, 9, 7}), 'nid': frozenset({1, 2, 3, 4, 5, 6, 7, 8, 9, 10}), 'match_type': 'superset', 'extra_features': 7, 'strength': 32.97142791748047}]",38,0.23128914833068848,True,big
f8,0.2_adam_wd,0.2,adam,0.0,True,1.0,1.0,1.0,1.0,1.0,0.36363636363636365,1.0,1.0,4,11,4,0,4,"[{'gt': frozenset({3, 4, 5, 7}), 'nid': frozenset({3, 4, 5, 7}), 'match_type': 'exact', 'extra_features': 0, 'strength': 5.875134468078613}, {'gt': frozenset({3, 5, 6}), 'nid': frozenset({3, 5, 6}), 'match_type': 'exact', 'extra_features': 0, 'strength': 5.134372711181641}, {'gt': frozenset({8, 9, 7}), 'nid': frozenset({8, 9, 7}), 'match_type': 'exact', 'extra_features': 0, 'strength': 2.403653144836426}, {'gt': frozenset({1, 2}), 'nid': frozenset({1, 2}), 'match_type': 'exact', 'extra_features': 0, 'strength': 3.551708936691284}]",77,0.17555423080921173,True,big
f8,0.2_sgd,0.2,sgd,0.0,False,0.0,0.0,0.0,0.4,0.4990089197224975,0.0,0.0,0.0019743336623889436,4,2,0,1,1,"[{'gt': frozenset({3, 4, 5, 7}), 'nid': frozenset({1, 2, 3, 4, 5, 6, 7, 8, 9, 10}), 'match_type': 'superset', 'extra_features': 6, 'strength': 6.223042964935303}]",57,0.17390431463718414,True,big
f8,0.2_sgd_dp,0.2,sgd,0.2,False,1.0,1.0,0.25,1.0,0.9990089197224975,0.6666666666666666,1.0,0.5791666666666666,4,6,4,0,4,"[{'gt': frozenset({3, 4, 5, 7}), 'nid': frozenset({3, 4, 5, 7}), 'match_type': 'exact', 'extra_features': 0, 'strength': 12.10572338104248}, {'gt': frozenset({3, 5, 6}), 'nid': frozenset({3, 5, 6}), 'match_type': 'exact', 'extra_features': 0, 'strength': 15.515273094177246}, {'gt': frozenset({8, 9, 7}), 'nid': frozenset({8, 9, 7}), 'match_type': 'exact', 'extra_features': 0, 'strength': 11.839519500732422}, {'gt': frozenset({1, 2}), 'nid': frozenset({1, 2}), 'match_type': 'exact', 'extra_features': 0, 'strength': 32.12672424316406}]",41,0.18091453611850739,True,big
f8,0.2_sgd_dp_wd,0.2,sgd,0.2,True,1.0,1.0,0.5,1.0,0.9985133795837463,0.5714285714285714,1.0,0.5041666666666667,4,7,4,0,4,"[{'gt': frozenset({3, 4, 5, 7}), 'nid': frozenset({3, 4, 5, 7}), 'match_type': 'exact', 'extra_features': 0, 'strength': 13.633218765258789}, {'gt': frozenset({3, 5, 6}), 'nid': frozenset({3, 5, 6}), 'match_type': 'exact', 'extra_features': 0, 'strength': 8.36353874206543}, {'gt': frozenset({8, 9, 7}), 'nid': frozenset({8, 9, 7}), 'match_type': 'exact', 'extra_features': 0, 'strength': 7.700777530670166}, {'gt': frozenset({1, 2}), 'nid': frozenset({1, 2}), 'match_type': 'exact', 'extra_features': 0, 'strength': 17.1830997467041}]",84,0.17983373999595642,True,big
f8,0.2_sgd_wd,0.2,sgd,0.0,True,0.25,0.5,0.25,0.7375,0.6235133795837463,0.2,0.25,0.3264807502467917,4,5,1,1,2,"[{'gt': frozenset({1, 2}), 'nid': frozenset({1, 2}), 'match_type': 'exact', 'extra_features': 0, 'strength': 5.314004898071289}, {'gt': frozenset({3, 4, 5, 7}), 'nid': frozenset({1, 2, 3, 4, 5, 6, 7, 8, 9, 10}), 'match_type': 'superset', 'extra_features': 6, 'strength': 2.9908087253570557}]",88,0.171762615442276,True,big
f8,0.5_adam,0.5,adam,0.0,False,0.925,1.0,0.75,0.8839285714285714,0.9987611496531219,0.25,1.0,0.8524305555555556,4,16,4,0,4,"[{'gt': frozenset({3, 4, 5, 7}), 'nid': frozenset({3, 4, 5, 7}), 'match_type': 'exact', 'extra_features': 0, 'strength': 6.819213390350342}, {'gt': frozenset({3, 5, 6}), 'nid': frozenset({3, 5, 6}), 'match_type': 'exact', 'extra_features': 0, 'strength': 4.468352794647217}, {'gt': frozenset({8, 9, 7}), 'nid': frozenset({8, 9, 7}), 'match_type': 'exact', 'extra_features': 0, 'strength': 1.5774109363555908}, {'gt': frozenset({1, 2}), 'nid': frozenset({1, 2}), 'match_type': 'exact', 'extra_features': 0, 'strength': 5.189693927764893}]",61,1.0408904552459717,True,big
f8,0.5_adam_dp,0.5,adam,0.2,False,0.75,0.75,0.75,0.9083333333333333,0.8738850346878098,0.5,0.75,0.4484102500822639,4,6,3,1,4,"[{'gt': frozenset({3, 4, 5, 7}), 'nid': frozenset({3, 4, 5, 7}), 'match_type': 'exact', 'extra_features': 0, 'strength': 55.83751678466797}, {'gt': frozenset({3, 5, 6}), 'nid': frozenset({3, 5, 6}), 'match_type': 'exact', 'extra_features': 0, 'strength': 53.13710021972656}, {'gt': frozenset({1, 2}), 'nid': frozenset({1, 2}), 'match_type': 'exact', 'extra_features': 0, 'strength': 63.79640197753906}, {'gt': frozenset({8, 9, 7}), 'nid': frozenset({1, 2, 3, 4, 5, 6, 7, 8, 9, 10}), 'match_type': 'superset', 'extra_features': 7, 'strength': 30.771608352661133}]",29,1.1080397367477417,True,big
f8,0.5_adam_dp_wd,0.5,adam,0.2,True,0.75,1.0,0.5,0.9083333333333333,0.873017839444995,0.3333333333333333,0.75,0.3629935834155972,4,9,3,1,4,"[{'gt': frozenset({3, 4, 5, 7}), 'nid': frozenset({3, 4, 5, 7}), 'match_type': 'exact', 'extra_features': 0, 'strength': 16.062963485717773}, {'gt': frozenset({3, 5, 6}), 'nid': frozenset({3, 5, 6}), 'match_type': 'exact', 'extra_features': 0, 'strength': 26.048656463623047}, {'gt': frozenset({1, 2}), 'nid': frozenset({1, 2}), 'match_type': 'exact', 'extra_features': 0, 'strength': 39.18794631958008}, {'gt': frozenset({8, 9, 7}), 'nid': frozenset({1, 2, 3, 4, 5, 6, 7, 8, 9, 10}), 'match_type': 'superset', 'extra_features': 7, 'strength': 14.301872253417969}]",8,1.120980978012085,True,big
f8,0.5_adam_wd,0.5,adam,0.0,True,0.9444444444444444,0.8,1.0,0.8708333333333332,0.998017839444995,0.26666666666666666,1.0,0.6005952380952381,4,15,4,0,4,"[{'gt': frozenset({3, 4, 5, 7}), 'nid': frozenset({3, 4, 5, 7}), 'match_type': 'exact', 'extra_features': 0, 'strength': 3.823974132537842}, {'gt': frozenset({3, 5, 6}), 'nid': frozenset({3, 5, 6}), 'match_type': 'exact', 'extra_features': 0, 'strength': 2.649015426635742}, {'gt': frozenset({8, 9, 7}), 'nid': frozenset({8, 9, 7}), 'match_type': 'exact', 'extra_features': 0, 'strength': 2.6451916694641113}, {'gt': frozenset({1, 2}), 'nid': frozenset({1, 2}), 'match_type': 'exact', 'extra_features': 0, 'strength': 8.47086238861084}]",49,1.0400500297546387,True,big
